x
LY86
AL034397.3
CLEC7A
C1QB
FCGR1A
CX3CR1
FCGR3A
CD86
TAL1
AC010378.2
TYROBP
FGD2
CSF1R
C1QC
ITGAX
AL392172.2
CYTH4
CSF3R
SYK
APBB1IP
IRF8
LILRB1
LINC02642
SUSD3
MNDA
CD84
LNCAROD
LAPTM5
CD74
ADAM28
TLR2
DOCK8
WDFY4
FYB1
LST1
FCGR2A
RHBDF2
LINC00996
LILRB4
ARHGAP25
DHRS9
LINC02232
TFEC
SELPLG
HLA-DRA
BLNK
SH3TC1
RGS10
IKZF1
MILR1
CD300A
AC079015.1
C3
LINC01268
AL357522.1
HCLS1
PLA2G4A
PIK3R5
CMKLR1
CD53
SLC2A5
SAMSN1
AL139351.3
SLC11A1
TMEM156
LPAR5
HCK
TBXAS1
CYBB
LCP2
P2RY13
TRIM38
CSF2RA
PIK3AP1
PTPRC
RBM47
TNFRSF10D
PTGS1
HLA-DRB1
KLHL6
GIMAP8
OLR1
TNFRSF1B
ATP8B4
DOCK2
ALOX5
TLR1
PARVG
ITGAM
BTK
SRGN
BIN2
AC006230.1
MSR1
LINC02057
AC012150.1
LAIR1
SP100
ARHGDIB
NIBAN1
CYBA
TGFBR2
LINC01374
ARHGAP45
LPCAT2
RASGEF1C
NCKAP1L
CD4
NLRP3
MRC1
LY96
AC131944.1
TLR10
ARHGAP15
LINC01141
SPP1
RGS19
LRMP
SLCO2B1
ADCY7
FLI1
GPR34
FCGBP
AP000331.1
LYN
TMIGD3
LPAR6
TLR5
IRAK3
LINC01091
IL18
LGALS9
NABP1
IL4R
IL13RA1
FAM177B
TMC8
LINC02391
GAB3
BNC2
CPED1
MYO1F
SLA
LRRK1
LIPC
OTULINL
KCNK13
PALD1
CMTM7
ST6GAL1
INPP5D
MYOF
RIN3
EPSTI1
P2RY12
LCP1
AC009432.2
AL163541.1
ABCC4
CIITA
PTAFR
CARD11
CCDC26
APOC2
AC025569.1
IL10RA
HPGDS
PRAM1
VAV1
MAF
IFI44L
LINC02742
LINC01094
RPS6KA1
SLC7A7
MIR31HG
DENND3
PIK3CD
TMEM273
TRIM22
ARHGAP4
TRAF3IP3
B4GALT1
LAT2
ACSM5
CASP10
TM6SF1
TGIF2
KYNU
CTSC
MICOS10
A2M
RUBCNL
TGFBR1
IPCEF1
MEF2C
SERPINB9
RUNX1
HSPA1A
CYFIP1
ARHGAP24
CTSZ
GNB4
KCTD12
HMGA1P4
HLA-DPB1
ADAP2
AC079793.1
HSPA1B
IFI16
C12orf75
FMNL3
FGD3
LINC02712
SAMD9L
TMEM106A
SKAP2
ARPC1B
SP140L
ETS2
HK2
ARRB2
JAK3
GCNT2
MAP3K8
SRGAP2
SORL1
CTSS
SRGAP2B
SYTL3
RUNX2
EHBP1L1
BHLHE41
VSIR
DDX60L
PECAM1
FCGRT
RNF144B
UNC93B1
PLXDC2
RYR1
RREB1
DLEU1
SMIM35
BACH1
SP140
LINC02798
IFNGR1
PARP14
CASS4
SWAP70
RASSF3
AC008691.1
LHFPL2
RCBTB2
RCSD1
AC044781.1
SUSD6
SRGAP2-AS1
IGF1
LINC01176
ENTPD1
S100Z
AC009950.1
MLXIPL
AOAH
MKNK1
SFMBT2
SH3RF3
SPTLC3
NCK2
SYNDIG1
ITGAL
XAF1
RNASET2
HLA-E
FAM149A
NLRP1
SRGAP2C
ENG
CNPY3
ITPRIPL2
IL6R
BTG2
KLF6
ARHGAP22
SLC29A3
PDGFB
CTSB
KCNQ1
AL392172.1
SIPA1L2
RAB39A
XACT
COTL1
TGFB1
FMN1
CARD8
TMEM51
CEBPB
SH2B3
GLIPR1
ZFP36L1
TNFRSF1A
ZC3HAV1
DEF6
SP110
ANKRD44
B3GNT5
SAMHD1
MEF2A
PAG1
SAT1
HAVCR2
SDK1
LINC00278
MGST2
USP6NL
PREX1
GRAMD1A
HIST1H2AC
ST8SIA4
LOXL3
DISC1
ITPR2
IGSF21
AL136171.2
BMP2K
TRIM36
ARID3A
RASSF8
ARHGAP6
FMNL1
ARHGAP12
ZFP36L2
ITGB2
SOCS6
HSD17B11
ZNF710
FOXN3
