"","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","pct_in","pct_out"
"AL627309.1",18.7511244888424,-0.49885799982039,0.377763613156743,0.133692958036389,0.161917026955182,"Not significant",2.75387263339071,7.78440377453332
"AL627309.5",13.0983463913416,-1.09131871133532,0.551562204022012,0.00446415697708871,0.00695091467396677,"Significant",1.54905335628227,6.86361870815912
"AC114498.1",0.730309211373982,-0.18572046184844,0.830566744518247,0.122204349957264,0.149119186881666,"Not significant",0.172117039586919,0.57120661685745
"AL669831.2",1.46258434091474,-0.16657354942613,0.861098924707197,1,1,"Not significant",0.172117039586919,0.607763840336326
"LINC01409",239.204445306628,-1.19837133519549,0.138399027305488,1.05514587921163e-28,1.44519481069097e-27,"Significant",21.8588640275387,48.6645189297873
"FAM87B",0.955593090763193,0.142040131953228,0.798875417707029,1,1,"Not significant",0.344234079173838,0.582630749194599
"LINC01128",83.5037154879694,-0.159382730211042,0.186143526911,0.0270444158387689,0.037012559864238,"Significant",15.1462994836489,26.2206685402244
"LINC00115",15.2633703179501,-0.673446990675226,0.6284009190071,0.0692651145274681,0.0885694545994734,"Not significant",1.37693631669535,6.06164461809126
"FAM41C",0.268711731832604,-0.387624910238972,0.997712642217657,0.01058321376789,0.0154741708406186,"Significant",0,0.262755043754427
"AL645608.6",1.78764210574876,0.740874294764316,0.73228644729415,0.043693977256262,0.0577714968026636,"Not significant",0.688468158347676,0.653460369684922
"SAMD11",7.70118229249095,-1.60535477832292,0.762374517425838,0.000225541807643518,0.000428406097770418,"Significant",0.688468158347676,4.83240797861402
"NOC2L",47.3655419033991,-0.303104851193116,0.246403365424329,0.145232260550007,0.174650123232619,"Not significant",8.77796901893287,19.1399913176594
"KLHL17",5.19984987589505,-1.02002537770012,0.650293691034783,1.00554439460408e-06,2.60884742792858e-06,"Significant",0.688468158347676,3.56204446272306
"PLEKHN1",0.411515033713977,0.0298140971887905,0.849913834892099,1,1,"Not significant",0.172117039586919,0.329015011309891
"AL645608.7",33.9333666178529,3.48877094697054,0.421136725224301,1.28509695699767e-19,1.02036150035801e-18,"Significant",8.43373493975904,2.33280782324582
"HES4",214.016149904756,2.07716657952408,0.31627769081236,3.40217814612132e-11,1.4048207780093e-10,"Significant",28.9156626506024,24.8771905773757
"ISG15",58.6000453535062,3.33019543369337,0.173137258555038,6.77014129243648e-125,3.04084397947005e-122,"Significant",15.6626506024096,5.54298900998469
"AGRN",19.7094553417409,1.61953466542709,0.26543487319818,9.16219109140114e-29,1.26021246104589e-27,"Significant",6.54044750430293,4.36173372632349
"C1orf159",122.095873676464,-1.91096045989424,0.213993886718796,7.13386339381569e-33,1.21229142382448e-31,"Significant",8.95008605851979,38.339388123472
"AL390719.3",8.31133067485844,-3.5523546436507,1.28417034878343,6.31879397010894e-07,1.67730692597624e-06,"Significant",0.344234079173838,7.23604542235017
"TTLL10",1.98968454053477,0.224901677517726,0.690556831989237,0.722653357366034,0.755622825329733,"Not significant",0.516351118760757,0.804258916535289
"TNFRSF4",3.04258819398297,0.628768520163716,0.951876187563511,3.87805112445586e-13,1.89331165373313e-12,"Significant",0.344234079173838,0.301597093700733
"SDF4",71.6887208511758,-0.354738385595316,0.240411260735031,0.0918382451186932,0.114848446062796,"Not significant",12.2203098106713,26.9815157538785
"B3GALT6",7.20956449034429,0.354265052436786,0.410641719129804,0.24904519311725,0.286137264086507,"Not significant",2.23752151462995,3.45465761875386
"C1QTNF12",1.41437254170029,-0.265227110179775,0.826845340805073,1,1,"Not significant",0.172117039586919,0.710581031370667
"AL162741.1",0.618129537715144,0.465045376763048,1.05370558074581,5.61840653782588e-06,1.32950412132711e-05,"Significant",0.172117039586919,0.105102017501771
"UBE2J2",85.5455566396066,0.385673238134279,0.152652060980383,4.11219563444817e-06,9.88984568620839e-06,"Significant",17.2117039586919,25.3455800031988
"LINC01786",9.96374083355607,-1.71629253065047,0.606695581672118,1.70378671732289e-21,1.52579401075898e-20,"Significant",0.860585197934595,6.62371192907899
"SCNN1D",10.0894778019167,-1.28216177930419,0.568699766167936,8.70063306081398e-06,2.005842405905e-05,"Significant",1.20481927710843,6.28555761189938
"ACAP3",132.463463437667,-2.41653298696496,0.241097581951965,8.42162711319096e-38,1.79976872785675e-36,"Significant",10.1549053356282,43.011858249366
"PUSL1",3.55402766201386,0.208490086786229,0.537388838439893,0.295474914160181,0.334524858269746,"Not significant",1.03270223752151,1.89183631503187
"INTS11",58.6330436700049,-0.137966707796283,0.194968672663236,0.462700349671258,0.503101415304726,"Not significant",11.5318416523236,22.667763383371
"CPTP",6.9858235978258,0.486789123105308,0.441559640263691,0.00657773537185997,0.00996027575984213,"Significant",1.89328743545611,2.62526561107684
"DVL1",32.446140426467,-0.17057133478523,0.273823252786858,0.306592565072957,0.346074046220184,"Not significant",6.71256454388985,14.1659240980648
"MXRA8",57.5672196835589,3.9134924196827,0.346905754125925,1.51314218122728e-31,2.41093987542214e-30,"Significant",13.2530120481928,2.60241734640254
"AURKAIP1",33.4356068448998,1.47872008757459,0.343589604983528,5.87266785200214e-07,1.5644633419829e-06,"Significant",10.4991394148021,10.1309205565837
"CCNL2",257.302454185547,0.668021430254319,0.0884005135335627,1.4919030569095e-31,2.37855364354648e-30,"Significant",42.3407917383821,50.2890305481299
"MRPL20-AS1",7.85425202169142,0.200540287119714,0.494258737909724,0.000104999136490642,0.000208517495404614,"Significant",1.54905335628227,2.66639248749058
"MRPL20",67.330024234473,0.539248260901566,0.173060531234514,0.00015117365624111,0.000294292700548285,"Significant",16.5232358003442,22.9716453035392
"AL391244.2",3.95730626611524,-0.0826375486868866,0.517336765879339,0.000170711148016796,0.000329984129775584,"Significant",1.03270223752151,2.33737747618068
"ANKRD65",9.32055225662303,-0.384506633310854,0.54658505316101,0.213720928008649,0.248922246861596,"Not significant",1.37693631669535,4.36630337925834
"TMEM88B",1.26287580968342,-1.66398080764627,1.57680632918287,1.63543841536914e-09,5.78555216713491e-09,"Significant",0,1.18125528366121
