"","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","pct_in","pct_out"
"AL691432.4",12.6057146332674,-6.15537593586979,1.30006180858118,9.58345734460635e-18,3.93182155613291e-17,"Significant",0.0353690167413346,3.61066190821391
"AL691432.2",60.7300139094574,0.0403331432202499,0.161555080069483,0.689897975438962,0.716276120789734,"Not significant",3.07710445649611,8.21669547761111
"MIB2",168.4426686301,-0.774924466184126,0.103975455258185,2.40182230035991e-15,8.84509204152913e-15,"Significant",6.342843668946,22.8768192717337
"MMP23B",6.73326588682144,-1.30609805890745,0.380697062477582,5.61003011264666e-09,1.42361831651612e-08,"Significant",0.224003772695119,1.46378185468131
"CDK11B",272.319134569834,0.109310787820012,0.100483068678319,0.273842145890038,0.315107209743571,"Not significant",12.6738976656449,27.2179780293314
"FO704657.1",63.5835678484232,0.217572454109647,0.261761632822558,0.386158531634919,0.428770311904626,"Not significant",3.19500117896722,7.68415769809848
"SLC35E2B",374.051259269117,-0.0678330855016486,0.0969581222783035,0.441780994361733,0.483189720400415,"Not significant",14.9257250648432,33.4439301845759
"CDK11A",285.01653794009,0.298081824900456,0.15681207291071,0.053047407586481,0.0695355256857707,"Not significant",14.5130865361943,27.3908436959795
"SLC35E2A",270.070057110101,-0.231782253962168,0.1414628564753,0.0944823505900485,0.118816355217579,"Not significant",10.8936571563311,27.4326660346847
"NADK",223.037746196784,-0.539645198123633,0.0959394113958463,4.50255613213757e-09,1.1494820002893e-08,"Significant",8.14666352275407,25.7123738359449
"GNB1",2783.92741868393,-0.134677965607252,0.0833913405142821,0.104705434301743,0.130655950168554,"Not significant",64.9610940815845,79.5460882172531
"AL109917.1",2.65980658120398,-1.06228671074646,0.582443677516559,0.00179226335765713,0.00285531897897952,"Significant",0.0825277057297807,0.591089053699883
"CALML6",2.66627171626525,-2.31682326464601,0.796116075936179,1.33322291437989e-08,3.30957232946337e-08,"Significant",0.0471586889884461,0.710979757988067
"TMEM52",2.91284260620588,-2.13638755690149,0.772451283797827,9.666840953847e-06,1.92747634169e-05,"Significant",0.0471586889884461,0.842023085930965
"CFAP74",136.287055710581,-4.17124521576821,0.285137078822621,6.37016477729188e-52,7.51296687038544e-51,"Significant",0.884225418533365,22.1909329169687
"AL391845.2",3.44060260844148,-4.09766938160621,1.2401900551757,3.3081685592454e-11,9.68347592757387e-11,"Significant",0.0117896722471115,0.978642725701221
"GABRD",130.909582682057,-3.57458585325723,0.4379018138518,3.36768366384939e-15,1.23162026993055e-14,"Significant",1.8391888705494,22.4390787932861
"PRKCZ",1276.84355416244,-0.437926127297519,0.112637215056354,7.99413605382031e-05,0.000147011215123457,"Significant",35.8877623202075,42.1931634416997
"AL590822.2",28.0121974337941,-1.50114573198197,0.406238481336823,5.95729642075062e-05,0.000110897239968993,"Significant",0.754539023815138,5.59025260692578
"PRKCZ-AS1",5.32973909534616,0.687686822261289,0.369748456540154,0.0038184483437339,0.00584671312675142,"Significant",0.294741806177788,0.549266714994702
"FAAP20",116.516455731774,-0.0264809748245262,0.126548137954074,0.735767485301657,0.757801075525262,"Not significant",5.64725300636642,14.2502648748118
"AL590822.1",14.9755950503628,-2.96965267270302,0.427244444684526,9.37686405876114e-24,4.88208079451982e-23,"Significant",0.15326573921245,3.17013327385267
"SKI",890.375833863578,-1.14882289173331,0.102696103029749,3.73177861646062e-29,2.34291241444683e-28,"Significant",21.0091959443527,60.6702726816484
"AL590822.3",2.2085786723443,-2.45564333889414,0.96493814703325,4.80101449561153e-06,9.82293785566263e-06,"Significant",0.0235793444942231,0.616182456922991
"MORN1",213.562714380465,-2.52124142865281,0.121269749543014,1.07259064098067e-116,4.50684874834079e-115,"Significant",3.07710445649611,30.6000111526237
"RER1",373.258395397292,0.691936419872062,0.0957445142380697,1.23476796651223e-13,4.14961767393372e-13,"Significant",20.3489742985145,30.3769586795294
"PEX10",94.4062222383979,0.137262632053298,0.161052656991192,0.378257256179643,0.420915545649588,"Not significant",4.73944824333884,11.6851614342274
"PLCH2",210.804390888557,0.730947523525936,0.241380913119962,0.00185846374182173,0.00295667131507331,"Significant",10.1744871492573,15.9538281380695
"PANK4",68.3201806649421,-0.555942177414678,0.151862180359125,6.0860876585714e-05,0.000113164414951987,"Significant",2.79415232256543,10.2855071655607
"HES5",41.2219305475351,-7.9446016792773,1.36490929239389,9.40943957100362e-22,4.5563242186992e-21,"Significant",0.165055411459561,7.4583170690905
"AL139246.5",42.101398514235,-7.99470737565384,1.28531032830508,3.73812574438825e-61,5.46402635403134e-60,"Significant",0.0825277057297807,9.35983940221937
"TNFRSF14-AS1",1.53462063623367,-1.75083958063627,0.955752498745018,0.00127238964371077,0.0020628476347594,"Significant",0.0235793444942231,0.345731333296158
"TNFRSF14",15.883262141317,-1.68998785898888,0.354562835895788,4.61552025393796e-08,1.10262102562997e-07,"Significant",0.330110822919123,2.83834272012491
"AL139246.3",0.68085412805809,-1.23589597832565,1.04668798073315,0.00698005548309326,0.0103313543399441,"Significant",0.0117896722471115,0.175653822561758
"PRXL2B",23.3478309079061,-2.00157775348814,0.268383957870733,1.28055024715465e-22,6.39460672211699e-22,"Significant",0.589483612355577,5.08280823063626
"MMEL1",2.81721860660956,-2.38502542832722,0.831984804514878,1.70641964341554e-06,3.62075606525048e-06,"Significant",0.0353690167413346,0.702615290247031
"TTC34",39.1960368575273,-2.77669691030852,0.261262395197583,8.67468114731721e-42,7.88294437593509e-41,"Significant",0.518745578872907,8.21111916578375
"AC242022.2",1.33560241069873,-4.12452691799666,2.18691599977141,2.85082127018979e-07,6.42083177647861e-07,"Significant",0,0.379189204260302
"AL589702.1",3.10046216251564,4.1312994150542,0.656155579108516,8.79423041929537e-12,2.66415446943266e-11,"Significant",0.341900495166234,0.0557631182735739
"PRDM16-DT",191.639272947431,-9.42986195167338,1.01373404123542,2.49996308754743e-61,3.66785828327834e-60,"Significant",0.330110822919123,16.3581107455529
"PRDM16",537.406992753818,-6.65967005661392,0.433834545995166,2.68507088832294e-43,2.53995690227588e-42,"Significant",0.837066729544919,22.865666648079
"ARHGEF16",8.67093013982872,1.40422571525888,0.45198313249751,0.000568469758355974,0.000959967366780689,"Significant",0.672011318085357,0.507444376289522
"MEGF6",17.0456222203284,-1.33267806281358,0.29284785906139,8.72574068731423e-08,2.04610763791616e-07,"Significant",0.471586889884461,2.78536775776501
"AL513320.1",25.1686990312967,0.181339024055168,0.337488328769537,0.565834998276932,0.601849727223802,"Not significant",1.45012968639472,3.35972787598282
"TPRG1L",103.16883917038,-0.0452193096200344,0.201063517861346,0.785261529335942,0.802401622212162,"Not significant",4.85734496580995,12.4993029610216
"WRAP73",131.594112652156,0.489950103750235,0.120350004056588,2.79634432375564e-05,5.35943241852455e-05,"Significant",7.27422777646782,14.1024926113868
"TP73",6.16265089048162,-0.0130766020330212,0.313305500197104,0.686563786036922,0.713074099746606,"Not significant",0.330110822919123,0.920091451513969
"CCDC27",2.74155268022869,-1.15842901634475,0.581427215297832,0.000871427738169374,0.00144136476735852,"Significant",0.0707380334826692,0.546478559081024
"SMIM1",3.40430097203893,2.06607321266408,0.536924701096712,5.81268877137858e-07,1.28103847491766e-06,"Significant",0.282952133930677,0.175653822561758
"LRRC47",160.049873382642,0.491335382059962,0.0959373985338557,2.58674309236307e-08,6.31518302932989e-08,"Significant",8.7950954963452,16.2688897563152
"CEP104",719.660271573556,0.554782196152864,0.0861739898250535,9.68303306866604e-11,2.75626422961407e-10,"Significant",30.7828342372082,42.5918697373557
"DFFB",385.834750862044,-0.0769688313137174,0.114675098235583,0.494941200290257,0.534650897597243,"Not significant",15.8453195001179,30.9206490826967
"C1orf174",76.4361504099824,1.18876807797151,0.1215242967139,5.30636859921963e-25,2.88464904266183e-24,"Significant",5.28177316670597,6.68599788100151
"LINC01134",10.4328314080644,-0.907762287621195,0.34792948613059,0.0013643716514814,0.0022045588865002,"Significant",0.318321150672011,1.76769084927229
"LINC02780",2.72539964329061,-0.488100246598586,0.516268619884417,0.173802111961353,0.208498801095647,"Not significant",0.106107050224004,0.407070763397089
"AL805961.1",1.45100109189688,0.220050478164413,0.598484126493366,0.340327545446944,0.382988695232484,"Not significant",0.0707380334826692,0.158924887079685
"AJAP1",1060.5391518028,-1.1643047514424,0.176369245452898,2.55806374163797e-11,7.54811463762604e-11,"Significant",20.608347087951,40.6680421569174
"Z98886.1",2.35633434189495,-1.26577142751342,0.675654688625594,0.00241340291778779,0.00378886609808092,"Significant",0.0825277057297807,0.521385155857916
"AL365255.1",92.6180632854717,-5.51301558451407,0.398449961483267,7.71656250010501e-79,1.64635976322116e-77,"Significant",0.247583117189342,12.9788657781743
"NPHP4",711.317350334272,-1.68285744952095,0.12298670183654,6.64868710640538e-42,6.0498649564245e-41,"Significant",12.3437868427258,46.0491830703173
"KCNAB2",505.368139227131,-3.56416126592852,0.167349299096285,1.03596938998163e-94,2.95622417826534e-93,"Significant",3.85522282480547,37.5899180282161
"CHD5",151.947209803786,-5.40671582903631,0.324444660028748,4.98617037210226e-90,1.3037103884431e-88,"Significant",0.495166234378684,19.2912507667429
"RPL22",332.27280469496,-0.176879469120831,0.18871876259478,0.339934726134438,0.382577969208926,"Not significant",15.2676255600094,30.8509451848547
"RNF207",63.5683573561744,-4.99861461960624,0.392682127730264,2.69899116531267e-82,6.20136097180537e-81,"Significant",0.330110822919123,13.4835219985502
"ICMT",144.456496133213,-0.869541818423185,0.143381377621713,3.63301514344116e-10,9.94870514616473e-10,"Significant",5.1167177552464,19.1713600624547
"LINC00337",1.47522555391685,-2.60476211793037,1.23242262562322,3.71200494936158e-05,7.04655263943467e-05,"Significant",0.0117896722471115,0.401494451569732
"GPR153",17.2974370881677,-3.94693426986427,0.516226103356367,1.53677613538751e-39,1.31600524152224e-38,"Significant",0.141476066965338,3.85601962861763
"ACOT7",441.348394241561,-0.622016881921759,0.156222893506193,5.18560302563805e-05,9.7223423036456e-05,"Significant",13.8410752181089,36.246026877823
"AL031848.2",12.9654663643522,0.711095209713497,0.247739305223092,0.000827090571784665,0.00137207660203094,"Significant",0.778118368309361,1.40244242458038
"HES2",2.86304317861907,-1.13511845548141,0.591867622109209,0.00540461576402275,0.00810957962189282,"Significant",0.0825277057297807,0.524173311771594
"ESPN",7.9005768690039,-1.52747595793802,0.396596194472845,3.74002484266305e-08,9.01305644798566e-08,"Significant",0.212214100448008,1.54742653209167
"TNFRSF25",104.353615132828,-9.352837249804,1.30444249470425,5.41212954813415e-76,1.08956278375624e-74,"Significant",0.259372789436454,20.0552054870908
"PLEKHG5",110.625150776028,-3.78674457721436,0.220297535993377,1.58386833987603e-96,4.65504834008485e-95,"Significant",0.907804763027588,19.8460937935649
"NOL9",431.73267460621,0.126709978036013,0.0641172130466837,0.0468836806946067,0.0619673678749359,"Not significant",19.0167413345909,35.8222271789438
"TAS1R1",35.6539710433733,-1.13053734614027,0.302641524420331,7.04078923354753e-05,0.000130167443580386,"Significant",0.943173779768922,6.54101377349021
"ZBTB48",145.543514385102,-0.498845343262269,0.161480638007715,0.00157345121303391,0.00252398805289662,"Significant",5.85946710681443,19.9102213795795
"KLHL21",251.45269036438,0.639342309424187,0.134796752811599,1.03174643163564e-06,2.23124198798673e-06,"Significant",12.6149493044093,20.3340210784587
"PHF13",73.1577072719751,0.526517777100439,0.0967605150287519,1.30711187971955e-12,4.15013685207316e-12,"Significant",3.9849092195237,7.65627613896169
"THAP3",104.56941601963,0.933906235557657,0.0988474866993505,4.7169808241808e-27,2.74740638084969e-26,"Significant",6.26031596321622,9.05871856354207
"DNAJC11",643.474260129206,-0.222791930363601,0.0769512470127467,0.00329562269155991,0.00509070891310097,"Significant",22.3885875972648,45.9320805219428
"AL591163.1",4.62941963343933,-0.829956573713469,0.412164458568488,0.00121994549783271,0.00198332262204596,"Significant",0.15326573921245,0.836446774103608
"CAMTA1-DT",19.794059387385,-0.54411679017724,0.240519213175113,0.00596545567045218,0.00890976258622893,"Significant",0.825277057297807,3.29281213405454
"CAMTA1",7247.9499846184,-0.52036778294878,0.10767295660264,8.3990687549767e-07,1.82947375861414e-06,"Significant",78.1419476538552,85.9978810015056
"AL512330.1",43.3054618535292,-0.900278969968553,0.358604412335271,0.00690360559162486,0.0102259099643085,"Significant",1.29686394718227,7.10979757988067
"Z97987.1",9.35218912785239,-0.823680282291509,0.470188480444743,0.0353629394377581,0.0475357616665652,"Significant",0.341900495166234,1.82903027937322
"AL359881.3",6.39235505662821,-0.207556093342205,0.341495445209158,0.456323044706217,0.497510702976665,"Not significant",0.3065314784249,0.953549322478113
"AL359881.2",3.57504990868599,0.59196096589116,0.37414547272756,0.089300652699082,0.112800824461998,"Not significant",0.259372789436454,0.437740478447555
"AL359881.1",11.1661108641813,0.910871713314334,0.285095726648011,3.07722638485529e-05,5.88054110263027e-05,"Significant",0.672011318085357,1.0204650644064
"VAMP3",307.709738963518,1.02531789133917,0.0903994298048334,3.84898499734313e-31,2.59304015020812e-30,"Significant",17.4133459089837,22.3303407126527
"PER3",2199.35723651837,0.11970215608714,0.135352195352492,0.371578516448751,0.413986524711603,"Not significant",52.1339306767272,71.3712150783472
"Z98884.1",56.4564109854436,-0.0245533960287373,0.320591487290801,0.862161462740399,0.872512226416224,"Not significant",2.59372789436454,7.48619862822729
"UTS2",26.7773627547397,0.0791836128286991,0.413552707364278,0.830204684012986,0.843059189116325,"Not significant",1.34402263617071,3.80304466625774
"TNFRSF9",3.9917012623188,-0.647607110289745,0.444032457766785,0.0295147603695646,0.0401120482173905,"Significant",0.141476066965338,0.688674510678637
"PARK7",298.747283605277,0.374437899496956,0.0846781564001219,5.54390158747138e-06,1.12774014082251e-05,"Significant",15.4208912992219,29.0330675291362
"AL034417.4",33.1575664547946,-0.882477841817384,0.222513654047309,1.24783349688903e-05,2.46711738215054e-05,"Significant",1.03749115774581,5.15251212847822
"AL034417.3",16.6197152011538,-0.595858600176771,0.2601040250564,0.0149487828123942,0.0212019058721593,"Significant",0.589483612355577,2.25004182233871
"ERRFI1",369.129822566863,0.0573028685175189,0.117473116405069,0.616710183174189,0.64906916252879,"Not significant",14.5484555529356,30.1120838677299
"AL034417.2",81.9415867057152,-0.548727152473136,0.177735744481097,0.00154934778252117,0.00248706566176072,"Significant",2.53477953312898,10.0011152623655
"LINC01714",1.09793909931773,-0.31918173030133,0.642968785158103,0.334374486190086,0.377045583685044,"Not significant",0.0589483612355577,0.178441978475436
